board_id,current_a,measured_role,relative_time_s,sample_index
f5ea5fa8fcfa5209,0.00111934052,initiator,4.26,213
f5ea5fa8fcfa5209,0.00119970198,initiator,4.28,214
f5ea5fa8fcfa5209,0.00117598081,initiator,4.3,215
f5ea5fa8fcfa5209,0.00110233391,initiator,4.32,216
f5ea5fa8fcfa5209,0.00119910475,initiator,4.34,217
f5ea5fa8fcfa5209,0.00119809988,initiator,4.36,218
f5ea5fa8fcfa5209,0.00110482017,initiator,4.38,219
f5ea5fa8fcfa5209,0.00119523282,initiator,4.4,220
f5ea5fa8fcfa5209,0.0011917837,initiator,4.42,221
f5ea5fa8fcfa5209,0.00110567851,initiator,4.44,222
f5ea5fa8fcfa5209,0.00121165273,initiator,4.46,223
f5ea5fa8fcfa5209,0.00120238767,initiator,4.48,224
f5ea5fa8fcfa5209,0.00110527087,initiator,4.5,225
f5ea5fa8fcfa5209,0.00119965059,initiator,4.52,226
f5ea5fa8fcfa5209,0.00120630705,initiator,4.54,227
f5ea5fa8fcfa5209,0.00112151046,initiator,4.56,228
f5ea5fa8fcfa5209,0.00119508999,initiator,4.58,229
f5ea5fa8fcfa5209,0.00116361014,initiator,4.6,230
f5ea5fa8fcfa5209,0.00105020468,initiator,4.62,231
f5ea5fa8fcfa5209,0.00112896299,initiator,4.64,232
f5ea5fa8fcfa5209,0.00115769732,initiator,4.66,233
f5ea5fa8fcfa5209,0.00103198231,initiator,4.68,234
f5ea5fa8fcfa5209,0.0011645715,initiator,4.7,235
f5ea5fa8fcfa5209,0.00117542362,initiator,4.72,236
f5ea5fa8fcfa5209,0.00109659007,initiator,4.74,237
f5ea5fa8fcfa5209,0.00118764718,initiator,4.76,238
f5ea5fa8fcfa5209,0.0012090873,initiator,4.78,239
f5ea5fa8fcfa5209,0.0011040168,initiator,4.8,240
f5ea5fa8fcfa5209,0.0012030055,initiator,4.82,241
f5ea5fa8fcfa5209,0.00120769261,initiator,4.84,242
f5ea5fa8fcfa5209,0.00112233813,initiator,4.86,243
f5ea5fa8fcfa5209,0.00119352701,initiator,4.88,244
f5ea5fa8fcfa5209,0.0012162462,initiator,4.9,245
f5ea5fa8fcfa5209,0.00109500336,initiator,4.92,246
f5ea5fa8fcfa5209,0.00119573503,initiator,4.94,247
f5ea5fa8fcfa5209,0.00120927295,initiator,4.96,248
f5ea5fa8fcfa5209,0.00111555516,initiator,4.98,249
f5ea5fa8fcfa5209,0.00119674696,initiator,5,250
f5ea5fa8fcfa5209,0.00123508189,initiator,5.02,251
f5ea5fa8fcfa5209,0.00110313392,initiator,5.04,252
f5ea5fa8fcfa5209,0.00121474005,initiator,5.06,253
f5ea5fa8fcfa5209,0.00120712674,initiator,5.08,254
f5ea5fa8fcfa5209,0.0011065217,initiator,5.1,255
f5ea5fa8fcfa5209,0.00117865804,initiator,5.12,256
f5ea5fa8fcfa5209,0.00120855894,initiator,5.14,257
f5ea5fa8fcfa5209,0.00112625786,initiator,5.16,258
f5ea5fa8fcfa5209,0.00119926934,initiator,5.18,259
f5ea5fa8fcfa5209,0.00120708126,initiator,5.2,260
f5ea5fa8fcfa5209,0.0011220659,initiator,5.22,261
f5ea5fa8fcfa5209,0.0011765476,initiator,5.24,262
f5ea5fa8fcfa5209,0.0012318558,initiator,5.26,263
f5ea5fa8fcfa5209,0.00108263871,initiator,5.28,264
f5ea5fa8fcfa5209,0.00113871059,initiator,5.3,265
f5ea5fa8fcfa5209,0.00114182418,initiator,5.32,266
f5ea5fa8fcfa5209,0.001050246,initiator,5.34,267
f5ea5fa8fcfa5209,0.00114955126,initiator,5.36,268
f5ea5fa8fcfa5209,0.0011792834,initiator,5.38,269
f5ea5fa8fcfa5209,0.00109685593,initiator,5.4,270
f5ea5fa8fcfa5209,0.00117353725,initiator,5.42,271
f5ea5fa8fcfa5209,0.00118455801,initiator,5.44,272
f5ea5fa8fcfa5209,0.0011305129,initiator,5.46,273
f5ea5fa8fcfa5209,0.00119241739,initiator,5.48,274
f5ea5fa8fcfa5209,0.00120833451,initiator,5.5,275
f5ea5fa8fcfa5209,0.00111796133,initiator,5.52,276
f5ea5fa8fcfa5209,0.00118342721,initiator,5.54,277
f5ea5fa8fcfa5209,0.00121114706,initiator,5.56,278
f5ea5fa8fcfa5209,0.00110859731,initiator,5.58,279
f5ea5fa8fcfa5209,0.00118538372,initiator,5.6,280
f5ea5fa8fcfa5209,0.00120996509,initiator,5.62,281
f5ea5fa8fcfa5209,0.00111902975,initiator,5.64,282
f5ea5fa8fcfa5209,0.00121038547,initiator,5.66,283
f5ea5fa8fcfa5209,0.00120870234,initiator,5.68,284
f5ea5fa8fcfa5209,0.00111821261,initiator,5.7,285
f5ea5fa8fcfa5209,0.00118930044,initiator,5.72,286
f5ea5fa8fcfa5209,0.00120844794,initiator,5.74,287
f5ea5fa8fcfa5209,0.00112782779,initiator,5.76,288
f5ea5fa8fcfa5209,0.00119045382,initiator,5.78,289
f5ea5fa8fcfa5209,0.00121375658,initiator,5.8,290
f5ea5fa8fcfa5209,0.00111649036,initiator,5.82,291
f5ea5fa8fcfa5209,0.00118887775,initiator,5.84,292
f5ea5fa8fcfa5209,0.00122924165,initiator,5.86,293
f5ea5fa8fcfa5209,0.00112220017,initiator,5.88,294
f5ea5fa8fcfa5209,0.00118207788,initiator,5.9,295
f5ea5fa8fcfa5209,0.00120017803,initiator,5.92,296
f5ea5fa8fcfa5209,0.00111962166,initiator,5.94,297
f5ea5fa8fcfa5209,0.00120994414,initiator,5.96,298
f5ea5fa8fcfa5209,0.00118954177,initiator,5.98,299
f5ea5fa8fcfa5209,0.0010658365,initiator,6,300
f5ea5fa8fcfa5209,0.00115197212,initiator,6.02,301
f5ea5fa8fcfa5209,0.00113066603,initiator,6.04,302
f5ea5fa8fcfa5209,0.00106420106,initiator,6.06,303
f5ea5fa8fcfa5209,0.00113200795,initiator,6.08,304
f5ea5fa8fcfa5209,0.00117828663,initiator,6.1,305
f5ea5fa8fcfa5209,0.00110853156,initiator,6.12,306
f5ea5fa8fcfa5209,0.0011614365,initiator,6.14,307
f5ea5fa8fcfa5209,0.00122588951,initiator,6.16,308
f5ea5fa8fcfa5209,0.00111312249,initiator,6.18,309
f5ea5fa8fcfa5209,0.00117437118,initiator,6.2,310
f5ea5fa8fcfa5209,0.00120403272,initiator,6.22,311
f5ea5fa8fcfa5209,0.00112333433,initiator,6.24,312
f5ea5fa8fcfa5209,0.00114946237,initiator,6.26,313
f5ea5fa8fcfa5209,0.00121637016,initiator,6.28,314
