dataset,mobility,algorithm,metric,mean,std,runs
wesad,edge_markov_sparse,optimist,accuracy,0.8598484958211582,0.03367282964545554,12
wesad,edge_markov_sparse,optimist,loss,0.2890520606500407,0.08753049294160244,12
wesad,edge_markov_sparse,optimist,macro_f1,0.7464877437807004,0.039449138731440105,12
wesad,edge_markov_sparse,pulse,accuracy,0.9492424329121908,0.014739580348062097,12
wesad,edge_markov_sparse,pulse,loss,0.05193662553259245,0.013556067448382284,12
wesad,edge_markov_sparse,pulse,macro_f1,0.8767703465742681,0.05879706763635339,12
wesad,cambridge,local,accuracy,0.9750000044703484,0.008703883316576906,4
wesad,cambridge,local,loss,0.0039817869144826,0.0016316098704228683,4
wesad,cambridge,local,macro_f1,0.9208775483775483,0.03380173628154967,4
wesad,cambridge,oppavg,accuracy,0.9727272778749466,0.007422696411466023,4
wesad,cambridge,oppavg,loss,0.00345576057411558,0.0018648819357558026,4
wesad,cambridge,oppavg,macro_f1,0.9166976541976541,0.028806101697041866,4
wesad,cambridge,oppfl,accuracy,0.8386363729834556,0.04351941035738174,4
wesad,cambridge,oppfl,loss,0.2936760918237269,0.16895852329200628,4
wesad,cambridge,oppfl,macro_f1,0.6927034784387726,0.01973992035332974,4
wesad,cambridge,optimist,accuracy,0.8568181857466698,0.03350506454611481,4
wesad,cambridge,optimist,loss,0.16371016320772463,0.15750752611615668,4
wesad,cambridge,optimist,macro_f1,0.7663551726051726,0.040800724145012054,4
wesad,cambridge,pulse,accuracy,0.968181824684143,0.011736312750602322,4
wesad,cambridge,pulse,loss,0.006557465985679245,0.0030141013180913358,4
wesad,cambridge,pulse,macro_f1,0.9114719158836806,0.03929341604834678,4
